,stork_migration_id,timestamp,date,location-long,location-lat
716142,4559_pl_afr_5,2015-07-03 10:25:06.000,2015-07-03 10:25:06.000,22.4822492,53.2299811
716143,4559_pl_afr_5,2015-07-03 10:30:06.000,2015-07-03 10:30:06.000,22.4822443,53.2300234
716144,4559_pl_afr_5,2015-07-03 10:35:06.000,2015-07-03 10:35:06.000,22.4822393,53.229996
716145,4559_pl_afr_5,2015-07-03 10:40:06.000,2015-07-03 10:40:06.000,22.4822241,53.2299593
716146,4559_pl_afr_5,2015-07-03 10:45:06.000,2015-07-03 10:45:06.000,22.4821777,53.229946
716147,4559_pl_afr_5,2015-07-03 10:50:07.000,2015-07-03 10:50:07.000,22.4822528,53.2299488
716148,4559_pl_afr_5,2015-07-03 10:55:06.000,2015-07-03 10:55:06.000,22.4822305,53.2299529
716149,4559_pl_afr_5,2015-07-03 11:00:06.000,2015-07-03 11:00:06.000,22.4822705,53.2299633
716150,4559_pl_afr_5,2015-07-03 11:05:07.000,2015-07-03 11:05:07.000,22.4821362,53.2299085
716151,4559_pl_afr_5,2015-07-03 11:10:06.000,2015-07-03 11:10:06.000,22.4822533,53.2299419
716152,4559_pl_afr_5,2015-07-03 11:15:07.000,2015-07-03 11:15:07.000,22.4821926,53.2298806
716153,4559_pl_afr_5,2015-07-03 11:20:07.000,2015-07-03 11:20:07.000,22.4822358,53.2299366
716154,4559_pl_afr_5,2015-07-03 11:25:06.000,2015-07-03 11:25:06.000,22.4822351,53.2299203
716155,4559_pl_afr_5,2015-07-03 11:30:07.000,2015-07-03 11:30:07.000,22.4822229,53.2299569
716156,4559_pl_afr_5,2015-07-03 11:35:07.000,2015-07-03 11:35:07.000,22.482258,53.2299465
716157,4559_pl_afr_5,2015-07-03 11:40:07.000,2015-07-03 11:40:07.000,22.482235,53.2299539
716158,4559_pl_afr_5,2015-07-03 11:45:08.000,2015-07-03 11:45:08.000,22.4822983,53.2299744
716159,4559_pl_afr_5,2015-07-03 11:50:07.000,2015-07-03 11:50:07.000,22.4822257,53.2299663
716160,4559_pl_afr_5,2015-07-03 11:55:07.000,2015-07-03 11:55:07.000,22.4822248,53.229986
716161,4559_pl_afr_5,2015-07-03 12:00:06.000,2015-07-03 12:00:06.000,22.4822428,53.2299508
716162,4559_pl_afr_5,2015-07-03 12:05:07.000,2015-07-03 12:05:07.000,22.4822614,53.229992
716163,4559_pl_afr_5,2015-07-03 12:10:23.000,2015-07-03 12:10:23.000,22.4822702,53.2300227
716164,4559_pl_afr_5,2015-07-03 12:15:06.000,2015-07-03 12:15:06.000,22.4822797,53.2299554
716165,4559_pl_afr_5,2015-07-03 12:20:07.000,2015-07-03 12:20:07.000,22.4822437,53.2299403
716166,4559_pl_afr_5,2015-07-03 12:25:06.000,2015-07-03 12:25:06.000,22.4822763,53.2298958
716167,4559_pl_afr_5,2015-07-03 12:30:07.000,2015-07-03 12:30:07.000,22.4822283,53.2299822
716168,4559_pl_afr_5,2015-07-03 12:35:10.000,2015-07-03 12:35:10.000,22.4821991,53.2294934
716169,4559_pl_afr_5,2015-07-03 12:40:06.000,2015-07-03 12:40:06.000,22.4821788,53.2299125
716170,4559_pl_afr_5,2015-07-03 12:45:09.000,2015-07-03 12:45:09.000,22.4821689,53.2299665
716171,4559_pl_afr_5,2015-07-03 12:50:08.000,2015-07-03 12:50:08.000,22.4822421,53.2300216
716172,4559_pl_afr_5,2015-07-03 12:55:13.000,2015-07-03 12:55:13.000,22.4822027,53.2298655
716173,4559_pl_afr_5,2015-07-03 13:00:08.000,2015-07-03 13:00:08.000,22.4821993,53.2299592
716174,4559_pl_afr_5,2015-07-03 13:05:07.000,2015-07-03 13:05:07.000,22.4821754,53.2299232
716175,4559_pl_afr_5,2015-07-03 13:10:07.000,2015-07-03 13:10:07.000,22.4821965,53.2300043
716176,4559_pl_afr_5,2015-07-03 13:15:07.000,2015-07-03 13:15:07.000,22.482182,53.2300308
716177,4559_pl_afr_5,2015-07-03 13:20:10.000,2015-07-03 13:20:10.000,22.4820881,53.2299773
716178,4559_pl_afr_5,2015-07-03 13:25:08.000,2015-07-03 13:25:08.000,22.4822183,53.2300159
716179,4559_pl_afr_5,2015-07-03 13:30:14.000,2015-07-03 13:30:14.000,22.4821604,53.2300045
716180,4559_pl_afr_5,2015-07-03 13:35:11.000,2015-07-03 13:35:11.000,22.4820775,53.2299979
716181,4559_pl_afr_5,2015-07-03 13:40:10.000,2015-07-03 13:40:10.000,22.4821583,53.2299072
716182,4559_pl_afr_5,2015-07-03 13:45:07.000,2015-07-03 13:45:07.000,22.4822165,53.2299658
716183,4559_pl_afr_5,2015-07-03 13:50:08.000,2015-07-03 13:50:08.000,22.482211,53.2299517
716184,4559_pl_afr_5,2015-07-03 13:55:09.000,2015-07-03 13:55:09.000,22.48215,53.2299761
716185,4559_pl_afr_5,2015-07-03 14:00:10.000,2015-07-03 14:00:10.000,22.4820588,53.2301306
716186,4559_pl_afr_5,2015-07-03 14:05:10.000,2015-07-03 14:05:10.000,22.4822038,53.229975
716187,4559_pl_afr_5,2015-07-03 14:10:17.000,2015-07-03 14:10:17.000,22.48219,53.2299955
716188,4559_pl_afr_5,2015-07-03 14:15:07.000,2015-07-03 14:15:07.000,22.4821276,53.2299957
716189,4559_pl_afr_5,2015-07-03 14:20:23.000,2015-07-03 14:20:23.000,22.4822065,53.2299549
716190,4559_pl_afr_5,2015-07-03 14:25:09.000,2015-07-03 14:25:09.000,22.4822007,53.2299558
716191,4559_pl_afr_5,2015-07-03 14:30:08.000,2015-07-03 14:30:08.000,22.4822243,53.2299463
716192,4559_pl_afr_5,2015-07-03 14:35:06.000,2015-07-03 14:35:06.000,22.4822333,53.2299495
716193,4559_pl_afr_5,2015-07-03 14:40:06.000,2015-07-03 14:40:06.000,22.4822336,53.2299345
716194,4559_pl_afr_5,2015-07-03 14:45:07.000,2015-07-03 14:45:07.000,22.4822375,53.2299463
716195,4559_pl_afr_5,2015-07-03 14:50:07.000,2015-07-03 14:50:07.000,22.4822239,53.2299519
716196,4559_pl_afr_5,2015-07-03 14:55:06.000,2015-07-03 14:55:06.000,22.4821956,53.2299586
716197,4559_pl_afr_5,2015-07-03 15:00:07.000,2015-07-03 15:00:07.000,22.4822044,53.2299007
716198,4559_pl_afr_5,2015-07-03 15:05:07.000,2015-07-03 15:05:07.000,22.4822132,53.2299725
716199,4559_pl_afr_5,2015-07-03 15:10:07.000,2015-07-03 15:10:07.000,22.4822325,53.2300044
716200,4559_pl_afr_5,2015-07-03 15:15:07.000,2015-07-03 15:15:07.000,22.4822265,53.2300434
716201,4559_pl_afr_5,2015-07-03 15:20:06.000,2015-07-03 15:20:06.000,22.4821508,53.2300227
716202,4559_pl_afr_5,2015-07-03 15:25:07.000,2015-07-03 15:25:07.000,22.4822102,53.2300223
716203,4559_pl_afr_5,2015-07-03 15:30:09.000,2015-07-03 15:30:09.000,22.4822532,53.2301139
716204,4559_pl_afr_5,2015-07-03 15:35:07.000,2015-07-03 15:35:07.000,22.4821796,53.229971
716205,4559_pl_afr_5,2015-07-03 15:40:07.000,2015-07-03 15:40:07.000,22.4822433,53.2300293
716206,4559_pl_afr_5,2015-07-03 15:45:08.000,2015-07-03 15:45:08.000,22.4822164,53.2299491
716207,4559_pl_afr_5,2015-07-03 15:50:08.000,2015-07-03 15:50:08.000,22.4822491,53.2300453
